country,1960,1980,2000,2018
China,192.2850582,347.1200879,1767.833627,7754.962119
India,330.205293,422.9038045,826.5924254,2104.163292
Japan,8607.657082,25854.57502,42169.73328,48919.56089
United States,17550.57316,28589.67273,44726.9654,54541.72052
